wind_onshore,pv,load,installed_renewables
0.704,0,0.09881506849,0
0.744,0,0.1035205479,0
0.770,0,0.09881506849,0
0.772,0,0.09222739726,0
0.750,0,0.07716986301,0
0.715,0,0.06681780822,0
0.739,0,0.06399452055,0
0.748,0,0.06023013699,0
0.772,0,0.05834794521,0
0.779,0,0.05740684932,0
0.760,0,0.0592890411,0
0.737,0,0.06587671233,0
0.714,0.028,0.06964109589,0.028
0.745,0.215,0.07434657534,0.215
0.770,0.472,0.07622876712,0.472
0.755,0.631,0.07905205479,0.631
0.733,0.719,0.08469863014,0.719
0.717,0.752,0.08658082192,0.752
0.708,0.722,0.08658082192,0.722
0.715,0.611,0.08752191781,0.611
0.739,0.476,0.08469863014,0.476
0.770,0.361,0.08281643836,0.361
0.793,0.186,0.08281643836,0.186
0.794,0.007,0.08469863014,0.007
0.793,0,0.09881506849,0
0.816,0,0.1035205479,0
0.833,0,0.09881506849,0
0.834,0,0.09222739726,0
0.829,0,0.07716986301,0
0.818,0,0.06681780822,0
0.792,0,0.06399452055,0
0.806,0,0.06023013699,0
0.839,0,0.05834794521,0
0.850,0,0.05740684932,0
0.842,0,0.0592890411,0
0.813,0,0.06587671233,0
0.778,0.100,0.06964109589,0.100
0.838,0.348,0.07434657534,0.348
0.885,0.544,0.07622876712,0.544
0.893,0.673,0.07905205479,0.673
0.886,0.751,0.08469863014,0.751
0.875,0.783,0.08658082192,0.783
0.868,0.768,0.08658082192,0.768
0.865,0.702,0.08752191781,0.702
0.866,0.593,0.08469863014,0.593
0.866,0.430,0.08281643836,0.430
0.850,0.207,0.08281643836,0.207
0.819,0.008,0.08469863014,0.008
0.795,0,0.09881506849,0
0.799,0,0.1035205479,0
0.789,0,0.09881506849,0
0.772,0,0.09222739726,0
0.800,0,0.07716986301,0
0.840,0,0.06681780822,0
0.839,0,0.06399452055,0
0.850,0,0.06023013699,0
0.853,0,0.05834794521,0
0.868,0,0.05740684932,0
0.889,0,0.0592890411,0
0.894,0,0.06587671233,0
0.895,0.104,0.06964109589,0.104
0.910,0.347,0.07434657534,0.347
0.916,0.521,0.07622876712,0.521
0.913,0.644,0.07905205479,0.644
0.914,0.720,0.08469863014,0.720
0.916,0.752,0.08658082192,0.752
0.916,0.739,0.08658082192,0.739
0.918,0.687,0.08752191781,0.687
0.925,0.585,0.08469863014,0.585
0.930,0.428,0.08281643836,0.428
0.931,0.206,0.08281643836,0.206
0.929,0.008,0.08469863014,0.008
0.931,0,0.09881506849,0
0.944,0,0.1035205479,0
0.952,0,0.09881506849,0
0.959,0,0.09222739726,0
0.967,0,0.07716986301,0
0.965,0,0.06681780822,0
0.959,0,0.06399452055,0
0.958,0,0.06023013699,0
0.964,0,0.05834794521,0
0.963,0,0.05740684932,0
0.960,0,0.0592890411,0
0.951,0,0.06587671233,0
0.944,0.087,0.06964109589,0.087
0.949,0.334,0.07434657534,0.334
0.951,0.526,0.07622876712,0.526
0.947,0.652,0.07905205479,0.652
0.943,0.729,0.08469863014,0.729
0.939,0.760,0.08658082192,0.760
0.942,0.746,0.08658082192,0.746
0.951,0.688,0.08752191781,0.688
0.962,0.583,0.08469863014,0.583
0.971,0.426,0.08281643836,0.426
